俊;jun4|zun4
形式化;xing2 shi4 hua4
形式发票;xing2 shi4 fa1 piao4
形形色色;xing2 xing2 se4 se4
形影不离;xing2 ying3 bu4 li2
形影相吊;xing2 ying3 xiang1 diao4
形影相随;xing2 ying3 xiang1 sui2
形意拳;xing2 yi4 quan2
形态;xing2 tai4
形态学;xing2 tai4 xue2
形态发生素;xing2 tai4 fa1 sheng1 su4
形成;xing2 cheng2
形成层;xing2 cheng2 ceng2
形于色;xing2 yu2 se4
形旁;xing2 pang2
形核;xing2 he2
形状;xing2 zhuang4
形神;xing2 shen2
形符;xing2 fu2
形而上学;xing2 er2 shang4 xue2
形声;xing2 sheng1
形声字;xing2 sheng1 zi4
形色;xing2 se4
形译;xing2 yi4
形变;xing2 bian4
形象;xing2 xiang4
形象代言人;xing2 xiang4 dai4 yan2 ren2
形象大使;xing2 xiang4 da4 shi3
形象艺术;xing2 xiang4 yi4 shu4
形貌;xing2 mao4
形质;xing2 zhi4
形迹;xing2 ji4
形体;xing2 ti3
彩;cai3
彩信;cai3 xin4
彩券;cai3 quan4
彩印;cai3 yin4
彩卷;cai3 juan3
彩塑;cai3 su4
彩妆;cai3 zhuang1
彩带;cai3 dai4
彩弹;cai3 dan4
彩排;cai3 pai2
彩扩;cai3 kuo4
彩旗;cai3 qi2
彩民;cai3 min2
彩泥;cai3 ni2
彩画;cai3 hua4
彩票;cai3 piao4
彩礼;cai3 li3
彩练;cai3 lian4
彩绘;cai3 hui4
彩声;cai3 sheng1
彩色;cai3 se4
彩虹;cai3 hong2
彩虹屁;cai3 hong2 pi4
彩虹族群;cai3 hong2 zu2 qun2
彩虹旗;cai3 hong2 qi2
彩虹蜂虎;cai3 hong2 feng1 hu3
彩虹行动;cai3 hong2 xing2 dong4
彩蛋;cai3 dan4
彩衣;cai3 yi1
彩超;cai3 chao1
彩车;cai3 che1
彩铃;cai3 ling2
彩云;cai3 yun2
彩电;cai3 dian4
彩电视;cai3 dian4 shi4
彩霞;cai3 xia2
彩头;cai3 tou2
雕;diao1
彰;zhang1
彰化;zhang1 hua4
彰化市;zhang1 hua4 shi4
彰化县;zhang1 hua4 xian4
彰彰;zhang1 zhang1
彰明;zhang1 ming2
彰明较著;zhang1 ming2 jiao4 zhu4
彰武;zhang1 wu3
彰武县;zhang1 wu3 xian4
彰显;zhang1 xian3
影;ying3
影像;ying3 xiang4
影像会议;ying3 xiang4 hui4 yi4
影像档;ying3 xiang4 dang4
影像处理;ying3 xiang4 chu3 li3
影儿;ying3 r
影剧;ying3 ju4
影剧院;ying3 ju4 yuan4
影印;ying3 yin4
影印本;ying3 yin4 ben3
影印机;ying3 yin4 ji1
影后;ying3 hou4
影壁;ying3 bi4
影坛;ying3 tan2
影子;ying3 zi
影射;ying3 she4
影射小说;ying3 she4 xiao3 shuo1
影展;ying3 zhan3
影帝;ying3 di4
影星;ying3 xing1
影本;ying3 ben3
影业;ying3 ye4
影片;ying3 pian4
影视;ying3 shi4
影评;ying3 ping2
影象;ying3 xiang4
影踪;ying3 zong1
影迷;ying3 mi2
影院;ying3 yuan4
影集;ying3 ji2
影音;ying3 yin1
影响;ying3 xiang3
影响力;ying3 xiang3 li4
影响层面;ying3 xiang3 ceng2 mian4
影响面;ying3 xiang3 mian4
役;yi4
役使;yi4 shi3
役使动物;yi4 shi3 dong4 wu4
役男;yi4 nan2
役畜;yi4 chu4
役龄;yi4 ling2
彼;bi3
彼一时此一时;bi3 yi1 shi2 ci3 yi1 shi2
彼倡此和;bi3 chang4 ci3 he2
彼唱此和;bi3 chang4 ci3 he2
彼岸;bi3 an4
彼岸花;bi3 an4 hua1
彼得;bi3 de2
彼得前书;bi3 de2 qian2 shu1
彼得堡;bi3 de2 bao3
彼得后书;bi3 de2 hou4 shu1
彼拉多;bi3 la1 duo1
彼拉提斯;bi3 la1 ti2 si1
彼时;bi3 shi2
彼此;bi3 ci3
彼此彼此;bi3 ci3 bi3 ci3
彼尔姆;bi3 er3 mu3
佛雷泽尔;fu2 lei2 ze2 er3
往;wang3
往事;wang3 shi4
往事如风;wang3 shi4 ru2 feng1
往来;wang3 lai2
往来帐户;wang3 lai2 zhang4 hu4
往例;wang3 li4
往初;wang3 chu1
往前;wang3 qian2
往古;wang3 gu3
往外;wang3 wai4
往届;wang3 jie4
往常;wang3 chang2
往年;wang3 nian2
往往;wang3 wang3
往后;wang3 hou4
往复;wang3 fu4
往复运动;wang3 fu4 yun4 dong4
往心里去;wang3 xin1 li qu4
往日;wang3 ri4
往昔;wang3 xi1
往时;wang3 shi2
往岁;wang3 sui4
往死里;wang3 si3 li3
往泥里踩;wang3 ni4 li3 cai3
往生;wang3 sheng1
往程;wang3 cheng2
往脸上抹黑;wang3 lian3 shang4 mo3 hei1
往迹;wang3 ji4
往返;wang3 fan3
往还;wang3 huan2
征;zheng1
征人;zheng1 ren2
征伐;zheng1 fa2
征地;zheng1 di4
征尘;zheng1 chen2
征夫;zheng1 fu1
征帆;zheng1 fan1
征得;zheng1 de2
征战;zheng1 zhan4
征服;zheng1 fu2
征服者;zheng1 fu2 zhe3
征用;zheng1 yong4
征程;zheng1 cheng2
征衣;zheng1 yi1
征衫;zheng1 shan1
征讨;zheng1 tao3
征途;zheng1 tu2
征马;zheng1 ma3
征驾;zheng1 jia4
待;dai4|dai1
待乙妥;dai4 yi3 tuo3
待人;dai4 ren2
待人接物;dai4 ren2 jie1 wu4
待命;dai4 ming4
待字;dai4 zi4
待定;dai4 ding4
待宵草;dai4 xiao1 cao3
待复;dai4 fu4
待会;dai1 hui
待会儿;dai1 hui4 r
待业;dai4 ye4
待机;dai4 ji1
待产;dai4 chan3
待用餐;dai4 yong4 can1
待续;dai4 xu4
待考;dai4 kao3
待要;dai4 yao4
待见;dai4 jian
待解;dai4 jie3
待办事项列表;dai4 ban4 shi4 xiang4 lie4 biao3
待遇;dai4 yu4
很;hen3
徊;huai2
律;lv4
律动;lv4 dong4
律师;lv4 shi1
律师事务所;lv4 shi1 shi4 wu4 suo3
律政司;lv4 zheng4 si1
律条;lv4 tiao2
律法;lv4 fa3
律诗;lv4 shi1
后世;hou4 shi4
后事;hou4 shi4
后人;hou4 ren2
后付;hou4 fu4
后代;hou4 dai4
后任;hou4 ren4
后来;hou4 lai2
后来居上;hou4 lai2 ju1 shang4
后信号灯;hou4 xin4 hao4 deng1
后备;hou4 bei4
后备箱;hou4 bei4 xiang1
后备军;hou4 bei4 jun1
后儿;hou4 r
后两者;hou4 liang3 zhe3
后加;hou4 jia1
后劲;hou4 jin4
后勤;hou4 qin2
后勤学;hou4 qin2 xue2
后半;hou4 ban4
后半场;hou4 ban4 chang3
后半生;hou4 ban4 sheng1
后半叶;hou4 ban4 ye4
后台;hou4 tai2
后台进程;hou4 tai2 jin4 cheng2
后周;hou4 zhou1
后味;hou4 wei4
后唐;hou4 tang2
后坐;hou4 zuo4
后坐力;hou4 zuo4 li4
后尘;hou4 chen2
后壁;hou4 bi4
后天;hou4 tian1
后天性;hou4 tian1 xing4
后娘;hou4 niang2
后妈;hou4 ma1
后学;hou4 xue2
后宫;hou4 gong1
后年;hou4 nian2
后庭;hou4 ting2
后影;hou4 ying3
后心;hou4 xin1
后怕;hou4 pa4
后悔;hou4 hui3
后悔莫及;hou4 hui3 mo4 ji2
后患无穷;hou4 huan4 wu2 qiong2
后感;hou4 gan3
后感觉;hou4 gan3 jue2
后排;hou4 pai2
后掩蔽;hou4 yan3 bi4
后援;hou4 yuan2
后援会;hou4 yuan2 hui4
后摇;hou4 yao2
后摇滚;hou4 yao2 gun3
后撤;hou4 che4
后挡板;hou4 dang3 ban3
后效;hou4 xiao4
后文;hou4 wen2
后方;hou4 fang1
后日;hou4 ri4
后晋;hou4 jin4
后会有期;hou4 hui4 you3 qi1
后会无期;hou4 hui4 wu2 qi1
后期;hou4 qi1
后果;hou4 guo3
后果自负;hou4 guo3 zi4 fu4
后梁;hou4 liang2
后梢;hou4 shao1
后殖民;hou4 zhi2 min2
后段;hou4 duan4
后母;hou4 mu3
后海;hou4 hai3
后凉;hou4 liang2
后汉;hou4 han4
后汉书;hou4 han4 shu1
后照镜;hou4 zhao4 jing4
后灯;hou4 deng1
后父;hou4 fu4
后现代主义;hou4 xian4 dai4 zhu3 yi4
后生;hou4 sheng1
后生动物;hou4 sheng1 dong4 wu4
后生可畏;hou4 sheng1 ke3 wei4
后甲板;hou4 jia3 ban3
后盾;hou4 dun4
后空翻;hou4 kong1 fan1
后端;hou4 duan1
后缀;hou4 zhui4
后缘;hou4 yuan2
后继乏人;hou4 ji4 fa2 ren2
后继有人;hou4 ji4 you3 ren2
后继无人;hou4 ji4 wu2 ren2
后续;hou4 xu4
后置;hou4 zhi4
后置修饰语;hou4 zhi4 xiu1 shi4 yu3
后置词;hou4 zhi4 ci2
后翅;hou4 chi4
后翻筋斗;hou4 fan1 jin1 dou3
后者;hou4 zhe3
后肢;hou4 zhi1
后背;hou4 bei4
后脑;hou4 nao3
后脑勺;hou4 nao3 shao2
后腰;hou4 yao1
后脚;hou4 jiao3
后盖;hou4 gai4
后卫;hou4 wei4
后裔;hou4 yi4
后制;hou4 zhi4
后西游记;hou4 xi1 you2 ji4
后见之明;hou4 jian4 zhi1 ming2
后视镜;hou4 shi4 jing4
后记;hou4 ji4
后设;hou4 she4
后设认知;hou4 she4 ren4 zhi1
后设资料;hou4 she4 zi1 liao4
后诊;hou4 zhen3
后词汇加工;hou4 ci2 hui4 jia1 gong1
后话;hou4 hua4
后调;hou4 diao4
后账;hou4 zhang4
后起之秀;hou4 qi3 zhi1 xiu4
后跟;hou4 gen1
后跟提带;hou4 gen1 ti2 dai4
后路;hou4 lu4
后车之鉴;hou4 che1 zhi1 jian4
后车架;hou4 che1 jia4
后辈;hou4 bei4
后轮;hou4 lun2
后退;hou4 tui4
后送;hou4 song4
后送医院;hou4 song4 yi1 yuan4
后进;hou4 jin4
后进先出;hou4 jin4 xian1 chu1
后遗症;hou4 yi2 zheng4
后边;hou4 bian
后边儿;hou4 bian r
后部;hou4 bu4
后金;hou4 jin1
后钩;hou4 gou1
后钩儿;hou4 gou1 r
后门;hou4 men2
后附;hou4 fu4
后院;hou4 yuan4
后院起火;hou4 yuan4 qi3 huo3
后面;hou4 mian4
后头;hou4 tou
后颈;hou4 jing3
后顾之忧;hou4 gu4 zhi1 you1
后验概率;hou4 yan4 gai4 lv4
后鼻音;hou4 bi2 yin1
后龙;hou4 long2
后龙镇;hou4 long2 zhen4
径;jing4
径向;jing4 xiang4
径庭;jing4 ting2
径流;jing4 liu2
径直;jing4 zhi2
径自;jing4 zi4
径赛;jing4 sai4
径迹;jing4 ji4
径路;jing4 lu4
径道;jing4 dao4
徒;tu2
徒具;tu2 ju4
徒刑;tu2 xing2
徒劳;tu2 lao2
徒劳无功;tu2 lao2 wu2 gong1
徒劳无益;tu2 lao2 wu2 yi4
徒呼负负;tu2 hu1 fu4 fu4
徒工;tu2 gong1
徒弟;tu2 di4
徒手;tu2 shou3
徒手画;tu2 shou3 hua4
徒拥虚名;tu2 yong1 xu1 ming2
徒有其名;tu2 you3 qi2 ming2
徒有虚名;tu2 you3 xu1 ming2
徒步;tu2 bu4
徒步区;tu2 bu4 qu1
徒步旅行;tu2 bu4 lv3 xing2
徒步路径;tu2 bu4 lu4 jing4
徒然;tu2 ran2
徒自惊扰;tu2 zi4 jing1 rao3
得;de|de2|dei3
得不偿失;de2 bu4 chang2 shi1
得不到;de2 bu4 dao4
得中;de2 zhong4
得主;de2 zhu3
得了;de2 le|de2 liao3
得令;de2 ling4
得以;de2 yi3
得来速;de2 lai2 su4
得便;de2 bian4
得便宜卖乖;de2 pian2 yi mai4 guai1
得出;de2 chu1
得分;de2 fen1
得到;de2 dao4
得力;de2 li4
得胜;de2 sheng4
得势;de2 shi4
得可以;de ke3 yi3
得名;de2 ming2
得天独厚;de2 tian1 du2 hou4
得失;de2 shi1
得宜;de2 yi2
得宠;de2 chong3
得寸进尺;de2 cun4 jin4 chi3
得很;de hen3
得心应手;de2 xin1 ying4 shou3
得悉;de2 xi1
得意;de2 yi4
得意忘形;de2 yi4 wang4 xing2
得意扬扬;de2 yi4 yang2 yang2
得意洋洋;de2 yi4 yang2 yang2
得意门生;de2 yi4 men2 sheng1
得手;de2 shou3
得救;de2 jiu4
得数;de2 shu4
得文;de2 wen2
得荣;de2 rong2
得荣县;de2 rong2 xian4
得标;de2 biao1
得气;de2 qi4
得法;de2 fa3
得无;de2 wu2
得尔塔;dei3 er3 ta3
得奖;de2 jiang3
得当;de2 dang4
得病;de2 bing4
得益;de2 yi4
得益于;de2 yi4 yu2
得知;de2 zhi1
得票;de2 piao4
得票率;de2 piao4 lv4
得空;de2 kong4
得罪;de2 zui|de2 zui4
得而复失;de2 er2 fu4 shi1
得色;de2 se4
得着;de2 zhao2
得亏;dei3 kui1
得要;dei3 yao4
得志;de2 zhi4
得证;de2 zheng4
得过且过;de2 guo4 qie3 guo4
得道;de2 dao4
得道多助;de2 dao4 duo1 zhu4
得饶人处且饶人;de2 rao2 ren2 chu4 qie3 rao2 ren2
得体;de2 ti3
徘;pai2
徘徊;pai2 huai2
徙;xi3
从一而终;cong2 yi1 er2 zhong1
从不;cong2 bu4
从中;cong2 zhong1
从事;cong2 shi4
从事研究;cong2 shi4 yan2 jiu1
从井救人;cong2 jing3 jiu4 ren2
从今以后;cong2 jin1 yi3 hou4
从何;cong2 he2
从来;cong2 lai2
从来不;cong2 lai2 bu4
从来没;cong2 lai2 mei2
从来没有;cong2 lai2 mei2 you3
从俭;cong2 jian3
从优;cong2 you1
从兄;cong2 xiong1
从先;cong2 xian1
从前;cong2 qian2
从动;cong2 dong4
从化;cong2 hua4
从化市;cong2 hua4 shi4
从句;cong2 ju4
从命;cong2 ming4
从善如流;cong2 shan4 ru2 liu2
从严;cong2 yan2
从严惩处;cong2 yan2 cheng2 chu3
从天而降;cong2 tian1 er2 jiang4
从子;cong2 zi3
从容;cong2 rong2
从容不迫;cong2 rong2 bu4 po4
从实招来;cong2 shi2 zhao1 lai2
从宽;cong2 kuan1
从小;cong2 xiao3
从属;cong2 shu3
从影;cong2 ying3
从从容容;cong2 cong2 rong2 rong2
从心所欲;cong2 xin1 suo3 yu4
从政;cong2 zheng4
从早到晚;cong2 zao3 dao4 wan3
从未;cong2 wei4
从业;cong2 ye4
从业人员;cong2 ye4 ren2 yuan2
从此;cong2 ci3
从此往后;cong2 ci3 wang3 hou4
从母;cong2 mu3
从江;cong2 jiang1
从江县;cong2 jiang1 xian4
从没;cong2 mei2
从父;cong2 fu4
从犯;cong2 fan4
从略;cong2 lve4
从众;cong2 zhong4
从缓;cong2 huan3
从者;cong2 zhe3
从而;cong2 er2
从良;cong2 liang2
从里到外;cong2 li3 dao4 wai4
从军;cong2 jun1
从轻;cong2 qing1
从速;cong2 su4
从长计议;cong2 chang2 ji4 yi4
从难从严;cong2 nan2 cong2 yan2
从零开始;cong2 ling2 kai1 shi3
从头;cong2 tou2
从头到尾;cong2 tou2 dao4 wei3
从头到脚;cong2 tou2 dao4 jiao3
御;yu4
御便当;yu4 bian4 dang1
御史;yu4 shi3
御宅族;yu4 zhai2 zu2
御宝;yu4 bao3
御厨;yu4 chu2
御弟;yu4 di4
御手;yu4 shou3
御批;yu4 pi1
御用;yu4 yong4
御用大律师;yu4 yong4 da4 lv4 shi1
御酒;yu4 jiu3
御医;yu4 yi1
御驾亲征;yu4 jia4 qin1 zheng1
遍;bian4
复;fu4
复交;fu4 jiao1
复仇;fu4 chou2
复位;fu4 wei4
复信;fu4 xin4
复修;fu4 xiu1
复健;fu4 jian4
复元;fu4 yuan2
复出;fu4 chu1
复分解反应;fu4 fen1 jie3 fan3 ying4
复刻;fu4 ke4
复原;fu4 yuan2
复原乳;fu4 yuan2 ru3
复古;fu4 gu3
复古会;fu4 gu3 hui4
复合;fu4 he2
复吸;fu4 xi1
复命;fu4 ming4
复员;fu4 yuan2
复大;fu4 da4
复婚;fu4 hun1
复学;fu4 xue2
复审;fu4 shen3
复岗;fu4 gang3
复工;fu4 gong1
复市;fu4 shi4
复旦;fu4 dan4
复旦大学;fu4 dan4 da4 xue2
复明;fu4 ming2
复映片;fu4 ying4 pian4
复会;fu4 hui4
复查;fu4 cha2
复核;fu4 he2
复归;fu4 gui1
复活;fu4 huo2
复活的军团;fu4 huo2 de jun1 tuan2
复活节;fu4 huo2 jie2
复活节岛;fu4 huo2 jie2 dao3
复活赛;fu4 huo2 sai4
复现;fu4 xian4
复理石;fu4 li3 shi2
复生;fu4 sheng1
复苏;fu4 su1
复发;fu4 fa1
复盘;fu4 pan2
复习;fu4 xi2
复联;fu4 lian2
复职;fu4 zhi2
复兴;fu4 xing1
复兴区;fu4 xing1 qu1
复兴时代;fu4 xing1 shi2 dai4
复兴乡;fu4 xing1 xiang1
复兴门;fu4 xing1 men2
复兴党;fu4 xing1 dang3
复旧;fu4 jiu4
复萌;fu4 meng2
复诊;fu4 zhen3
复课;fu4 ke4
复议;fu4 yi4
复读;fu4 du2
复读生;fu4 du2 sheng1
复转;fu4 zhuan3
复辟;fu4 bi4
复返;fu4 fan3
复阳;fu4 yang2
复驶;fu4 shi3
循;xun2
循分;xun2 fen4
循化;xun2 hua4
循化撒拉族自治县;xun2 hua4 sa3 la1 zu2 zi4 zhi4 xian4
循化县;xun2 hua4 xian4
循序;xun2 xu4
循序渐进;xun2 xu4 jian4 jin4
循循善诱;xun2 xun2 shan4 you4
循环;xun2 huan2
循环使用;xun2 huan2 shi3 yong4
循环小数;xun2 huan2 xiao3 shu4
循环性;xun2 huan2 xing4
循环节;xun2 huan2 jie2
循环系统;xun2 huan2 xi4 tong3
循环论证;xun2 huan2 lun4 zheng4
循环赛;xun2 huan2 sai4
循着;xun2 zhe
循规蹈矩;xun2 gui1 dao3 ju3
循道宗;xun2 dao4 zong1
微;wei1
微不足道;wei1 bu4 zu2 dao4
微中子;wei1 zhong1 zi3
微乎其微;wei1 hu1 qi2 wei1
微信;wei1 xin4
微光;wei1 guang1
微克;wei1 ke4
微分;wei1 fen1
微分学;wei1 fen1 xue2
微分几何;wei1 fen1 ji3 he2
微分几何学;wei1 fen1 ji3 he2 xue2
微分方程;wei1 fen1 fang1 cheng2
微创手术;wei1 chuang1 shou3 shu4
微劈恩;wei1 pi1 en1
微动脉;wei1 dong4 mai4
微升;wei1 sheng1
微博;wei1 bo2
微博客;wei1 bo2 ke4
微商;wei1 shang1
微型;wei1 xing2
微型封装块;wei1 xing2 feng1 zhuang1 kuai4
微型小说;wei1 xing2 xiao3 shuo1
微尘;wei1 chen2
微妙;wei1 miao4
微孔膜;wei1 kong3 mo2
微安;wei1 an1
微安培;wei1 an1 pei2
微小;wei1 xiao3
微小病毒科;wei1 xiao3 bing4 du2 ke1
微山;wei1 shan1
微山县;wei1 shan1 xian4
微弱;wei1 ruo4
微径;wei1 jing4
微微;wei1 wei1
微扰;wei1 rao3
微扰展开;wei1 rao3 zhan3 kai1
微扰论;wei1 rao3 lun4
微整;wei1 zheng3
微整形;wei1 zheng3 xing2
微明;wei1 ming2
微星;wei1 xing1
微晶;wei1 jing1
微晶片;wei1 jing1 pian4
微服;wei1 fu2
微服私访;wei1 fu2 si1 fang3
微末;wei1 mo4
微机;wei1 ji1
微机化;wei1 ji1 hua4
微波;wei1 bo1
微波天线;wei1 bo1 tian1 xian4
微波炉;wei1 bo1 lu2
微溶;wei1 rong2
微漠;wei1 mo4
微火;wei1 huo3
微生物;wei1 sheng1 wu4
微生物学;wei1 sheng1 wu4 xue2
微生物学家;wei1 sheng1 wu4 xue2 jia1
微秒;wei1 miao3
微积分;wei1 ji1 fen1
微积分基本定理;wei1 ji1 fen1 ji1 ben3 ding4 li3
微积分学;wei1 ji1 fen1 xue2
微笑;wei1 xiao4
微管;wei1 guan3
微管蛋白;wei1 guan3 dan4 bai2
微米;wei1 mi3
微粒;wei1 li4
微粒体;wei1 li4 ti3
微细;wei1 xi4
微细加工;wei1 xi4 jia1 gong1
微丝;wei1 si1
微丝血管;wei1 si1 xue4 guan3
微缩;wei1 suo1
微缩胶卷;wei1 suo1 jiao1 juan3
微聚焦;wei1 ju4 jiao1
微臣;wei1 chen2
微茫;wei1 mang2
微菌;wei1 jun1
微薄;wei1 bo2
微处理器;wei1 chu3 li3 qi4
微处理机;wei1 chu3 li3 ji1
微血管;wei1 xue4 guan3
微观;wei1 guan1
微观世界;wei1 guan1 shi4 jie4
微观经济;wei1 guan1 jing1 ji4
微言大义;wei1 yan2 da4 yi4
微词;wei1 ci2
微调;wei1 tiao2
微软;wei1 ruan3
微软公司;wei1 ruan3 gong1 si1
微辣;wei1 la4
微速摄影;wei1 su4 she4 ying3
微量;wei1 liang4
微量元素;wei1 liang4 yuan2 su4
微量白蛋白;wei1 liang4 bai2 dan4 bai2
微雕;wei1 diao1
微电子;wei1 dian4 zi3
微电子学;wei1 dian4 zi3 xue2
微电脑;wei1 dian4 nao3
微静脉;wei1 jing4 mai4
微风;wei1 feng1
征信;zheng1 xin4
征信社;zheng1 xin4 she4
征候;zheng1 hou4
征传;zheng1 zhuan4
征兆;zheng1 zhao4
征兵;zheng1 bing1
征友;zheng1 you3
征召;zheng1 zhao4
征名责实;zheng1 ming2 ze2 shi2
征士;zheng1 shi4
征婚;zheng1 hun1
征实;zheng1 shi2
征才;zheng1 cai2
征收;zheng1 shou1
征文;zheng1 wen2
征求;zheng1 qiu2
征状;zheng1 zhuang4
征发;zheng1 fa1
征税;zheng1 shui4
征稿;zheng1 gao3
征聘;zheng1 pin4
征询;zheng1 xun2
征调;zheng1 diao4
征象;zheng1 xiang4
征选;zheng1 xuan3
征集;zheng1 ji2
德;de2
德三;de2 san1
德不配位;de2 bu4 pei4 wei4
德仁;de2 ren2
德令哈;de2 ling4 ha1
德令哈市;de2 ling4 ha1 shi4
德保;de2 bao3
德保县;de2 bao3 xian4
德伦特;de2 lun2 te4
德先生;de2 xian1 sheng
德胜门;de2 sheng4 men2
德化;de2 hua4
德化县;de2 hua4 xian4
德古拉;de2 gu3 la1
德古西加巴;de2 gu3 xi1 jia1 ba1
德国;de2 guo2
德国之声;de2 guo2 zhi1 sheng1
德国人;de2 guo2 ren2
德国学术交流总署;de2 guo2 xue2 shu4 jiao1 liu2 zong3 shu3
德国战车;de2 guo2 zhan4 che1
德国标准化学会;de2 guo2 biao1 zhun3 hua4 xue2 hui4
德国统一社会党;de2 guo2 tong3 yi1 she4 hui4 dang3
德国酸菜;de2 guo2 suan1 cai4
德国马克;de2 guo2 ma3 ke4
德城;de2 cheng2
德城区;de2 cheng2 qu1
德士;de2 shi4
德安;de2 an1
德安县;de2 an1 xian4
德宏;de2 hong2
德宏州;de2 hong2 zhou1
德川;de2 chuan1
德州;de2 zhou1
德州仪器;de2 zhou1 yi2 qi4
德州地区;de2 zhou1 di4 qu1
德州市;de2 zhou1 shi4
德州扑克;de2 zhou1 pu1 ke4
德干;de2 gan1
德律风;de2 lv4 feng1
德性;de2 xing4|de2 xing
德惠;de2 hui4
德惠地区;de2 hui4 di4 qu1
德惠市;de2 hui4 shi4
德意志;de2 yi4 zhi4
德意志学术交流中心;de2 yi4 zhi4 xue2 shu4 jiao1 liu2 zhong1 xin1
德意志民主共和国;de2 yi4 zhi4 min2 zhu3 gong4 he2 guo2
德意志银行;de2 yi4 zhi4 yin2 hang2
德庆;de2 qing4
德庆县;de2 qing4 xian4
德才;de2 cai2
德才兼备;de2 cai2 jian1 bei4
德拉门;de2 la1 men2
德政;de2 zheng4
德文;de2 wen2
德昂;de2 ang2
德昌;de2 chang1
德昌县;de2 chang1 xian4
德智体美;de2 zhi4 ti3 mei3
德格;de2 ge2
德格县;de2 ge2 xian4
德钦;de2 qin1
德钦县;de2 qin1 xian4
德江;de2 jiang1
德江县;de2 jiang1 xian4
德沃夏克;de2 wo4 xia4 ke4
德治;de2 zhi4
德法年鉴;de2 fa3 nian2 jian4
德清;de2 qing1
德清县;de2 qing1 xian4
德牧;de2 mu4
德班;de2 ban1
德累斯顿;de2 lei4 si1 dun4
德育;de2 yu4
德兴;de2 xing1
德兴市;de2 xing1 shi4
德航;de2 hang2
德薄能鲜;de2 bo2 neng2 xian3
德行;de2 xing|de2 xing2
德语;de2 yu3
德贵丽类;de2 gui4 li4 lei4
德都;de2 du1
德都县;de2 du1 xian4
德里;de2 li3
德里达;de2 li3 da2
德阳;de2 yang2
德阳市;de2 yang2 shi4
德雷斯顿;de2 lei2 si1 dun4
德雷尔;de2 lei2 er3
德雷福斯;de2 lei2 fu2 si1
德雷福斯案件;de2 lei2 fu2 si1 an4 jian4
德高望重;de2 gao1 wang4 zhong4
彻;che4
彻夜;che4 ye4
彻夜不眠;che4 ye4 bu4 mian2
彻底;che4 di3
彻底失败;che4 di3 shi1 bai4
彻悟;che4 wu4
彻查;che4 cha2
彻西;che4 xi1
彻头彻尾;che4 tou2 che4 wei3
彻骨;che4 gu3
心;xin1
心上人;xin1 shang4 ren2
心下;xin1 xia4
心中;xin1 zhong1
心中有数;xin1 zhong1 you3 shu4
心中有鬼;xin1 zhong1 you3 gui3
心中无数;xin1 zhong1 wu2 shu4
心乱如麻;xin1 luan4 ru2 ma2
心事;xin1 shi4
心事重重;xin1 shi4 chong2 chong2
心仪;xin1 yi2
心切;xin1 qie4
心力;xin1 li4
心力衰竭;xin1 li4 shuai1 jie2
心劲;xin1 jin4
心动;xin1 dong4
心动图;xin1 dong4 tu2
心动女;xin1 dong4 nv3
心包;xin1 bao1
心口;xin1 kou3
心口不一;xin1 kou3 bu4 yi1
心口如一;xin1 kou3 ru2 yi1
心土;xin1 tu3
心地;xin1 di4
心地善良;xin1 di4 shan4 liang2
心塞;xin1 sai1
心境;xin1 jing4
心如刀割;xin1 ru2 dao1 ge1
心如止水;xin1 ru2 zhi3 shui3
心孔;xin1 kong3
心存不满;xin1 cun2 bu4 man3
心存怀疑;xin1 cun2 huai2 yi2
心学;xin1 xue2
心安理得;xin1 an1 li3 de2
心安神闲;xin1 an1 shen2 xian2
心室;xin1 shi4
心室颤动;xin1 shi4 chan4 dong4
心宿二;xin1 xiu4 er4
心寒;xin1 han2
心宽体胖;xin1 kuan1 ti3 pan2
心尖;xin1 jian1
心平气和;xin1 ping2 qi4 he2
心底;xin1 di3
心广体胖;xin1 guang3 ti3 pan2
心弦;xin1 xian2
心影儿;xin1 ying3 er2
心律不整;xin1 lv4 bu4 zheng3
心律不齐;xin1 lv4 bu4 qi2
心律失常;xin1 lv4 shi1 chang2
心得;xin1 de2
心得安;xin1 de2 an1
心心相印;xin1 xin1 xiang1 yin4
心志;xin1 zhi4
心思;xin1 si
心急;xin1 ji2
心急吃不了热豆腐;xin1 ji2 chi1 bu liao3 re4 dou4 fu
心性;xin1 xing4
心悦诚服;xin1 yue4 cheng2 fu2
心情;xin1 qing2
心想;xin1 xiang3
心想事成;xin1 xiang3 shi4 cheng2
心意;xin1 yi4
心爱;xin1 ai4
心态;xin1 tai4
心慌;xin1 huang1
心慌意乱;xin1 huang1 yi4 luan4
心怀;xin1 huai2
心战;xin1 zhan4
心房;xin1 fang2
心房颤动;xin1 fang2 chan4 dong4
心拙口笨;xin1 zhuo1 kou3 ben4
心搏;xin1 bo2
心折;xin1 zhe2
心智;xin1 zhi4
心智图;xin1 zhi4 tu2
心有余而力不足;xin1 you3 yu2 er2 li4 bu4 zu2
心服;xin1 fu2
心服口服;xin1 fu2 kou3 fu2
心材;xin1 cai2
心根;xin1 gen1
心机;xin1 ji1
心毒;xin1 du2
心毒手辣;xin1 du2 shou3 la4
心气;xin1 qi4
心流;xin1 liu2
心满意足;xin1 man3 yi4 zu2
心灰意冷;xin1 hui1 yi4 leng3
心灰意懒;xin1 hui1 yi4 lan3
